,Name der Münze,Herkunftsland,Ausgabejahr,Menge in Mill.,Landspezifisch?,Prägestätte,Wert,Details
5,75. Jahrestag der Gründung des Staates Vatikanstadt,Vatican,2004,0.085,False,,2 euro,"Anlässlich des 75. Jahrestags der Gründung des Staates Vatikanstadt zeigt die Münze den 1506–1626 erbauten Petersdom, das bekannteste Werk der Architektur der Renaissance und größte Kirche der Welt, mit dem von Gian Lorenzo Bernini entworfenen Petersplatz, seinen Kolonnaden und dem vatikanischen Obelisken.30 Das Gebiet der Vatikanstadt, des kleinsten allgemein anerkannten Staates der Welt und des einzigen mit Latein als Amtssprache, wird zudem im Umriss dargestellt. Zu seinem Staatsgebiet gehören nicht die exterritorialen Besitzungen des Heiligen Stuhls wie die Patriarchalbasiliken und die päpstliche Sommerresidenz Castel Gandolfo. Seit 1929 ist er ein unabhängiger Binnenstaat innerhalb der Stadtgrenzen Roms, Sitz des Papstes als Oberhaupt der römisch-katholischen Kirche. Links sind der Ausgabeanlass „75° ANNO DELLO STATO“ (75. Jahr des Staates), rechts die Jahreszahlen „1929 • 2004“ dargestellt, darunter das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom und die Signets „VEROI“ des Designers Guido Veroi und „L.D.S. INC.“ (INC. = Incisore / Graveur) der Medailleurin Luciana De Simoni. Im Ring sind oben die zwölf Europasterne und unten der Staatsname „CITTÀ DEL VATICANO“ (Vatikanstadt) abgebildet."
4,Bartolomeo Borghesi,San Marino,2004,0.11,False,,2 euro,"Das Münzmotiv zeigt den italienischen Historiker und Numismatiker Bartolomeo Borghesi (1781–1860) gemäß seinem 1904 von Giuseppe Romagnoli geschaffenen Denkmal in San Marino. 1821 verlegte Borghesi seinen Wohnsitz dorthin und begann mit der Publikation der Osservazioni numismatiche (numismatischen Beobachtungen) zur Münzprägung in der Römischen Republik. 1838 wurde er als Repräsentant der Republik San Marino zur Krönung des österreichischen Kaisers Ferdinand I. zum König von Lombardo-Venetien nach Mailand entsandt. Rechts sind der Name des Ausgabestaats „SAN MARINO“ dargestellt, links „BARTOLOMEO BORGHESI“, das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom und die Initialen „E.L.F.“ des Designers Ettore Lorenzo Frapiccini. Auf dem Ring sind die zwölf Europasterne und unten das Ausgabejahr „2004“ zu sehen."
1,Erweiterung der Europäischen Union um zehn neue Mitgliedstaaten,Finland,2004,1.0,False,,2 euro,"Die Münze zeigt einen stilisierten Ast, von dem zehn Blätter sprießen. Dies ist ein metaphorisches Thema: Die zehn Triebe repräsentieren die EU-Erweiterung um die zehn neuen Mitgliedstaaten (Estland, Lettland, Litauen, Malta, Polen, Slowakei, Slowenien, Tschechische Republik, Ungarn und Zypern), während der Boden das Fundament für das Wachstum bietet. Unter diesem Stock sind die Buchstaben „EU“ und der griechische Buchstabe „ρ“ (kleines Rho) geschrieben; man liest Euro. Die „2004“ ganz oben auf dem Ring und das kleine Rho unten teilen die zwölf Europasterne in zwei seitliche Gruppen von je sechs Sternen. Die zwei Initialen „M“ unten rechts stehen für den Gestalter Pertti Mäkinen bzw. den Münzmeister Raimo Tapio Makkonen. Die Münze trägt keine Bezeichnung des ausgebenden Staates. Gefertigt wurde sie in der Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa."
3,Fünftes Jahrzehnt des Welternährungsprogramms,Italy,2004,16.0,False,,2 euro,"Das Welternährungsprogramm der Vereinten Nationen (englisch: World Food Programm / WFP) nahm 1963 seine Arbeit auf – sein Hauptquartier befindet sich in Rom. Die humanitäre Einrichtung ist die wichtigste Institution der Vereinten Nationen im Kampf gegen den globalen Hunger. Sie organisiert die Versorgung von Menschen in Not mit Nahrungsmitteln nach Naturkatastrophen, Dürren oder gewalttätigen Konflikten. Außerdem hilft das WFP auch Menschen in Gebieten mit dauerhaft schlechter Ernährungslage und führt dort Entwicklungsprojekte durch. Ein nach rechts gekippter Globus mit der Inschrift „WORLD FOOD PROGRAMME“ (Welternährungsprogramm) bildet das Zentrum des Motivs. Drei Ähren kommen hinter ihm hervor: Mais, Reis und Weizen repräsentieren die Grundnahrungsmittel der Welt. Rechts sind die Ligatur „RI“ (Repubblica Italiana, Italienische Republik) dargestellt, darunter die ligierten Initialen „UP“ der Medailleurin und Graveurin Uliana Pernazza, links das Münzstättenzeichen „R“ der Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom und unten das Ausgabejahr „2004“. Die zwölf Europasterne umrunden dieses Design in drei Gruppen zu vier Sternen, getrennt durch die drei Ähren."
2,Monogramm Großherzog Henris 1. Münze der Serie Großherzogliche Dynastie,Luxembourg,2004,2.482,False,,2 euro,"Großherzog Henri ist links im Profil dargestellt, rechts sein Monogramm, ein „H“ unter einer Königskrone. Dieses ist in einer funkelnd erscheinenden Oberflächenstruktur mit der speziellen, MSP (Minted Security Printing) genannten Prägetechnik aufgebracht worden, wobei bei Teilen der Münzexemplare dieses Teilmotiv bezüglich der Höhe der Platzierung und der Seitenneigung unterschiedlich erscheint – wie nach rechts oder links gekippt. Die zwölf Europasterne umgeben das Monogramm in einem Halbkreis am Rand der Pille. Das Gestaltungskonzept stammt von der Luxemburger Zentralbank, das Porträt schuf ursprünglich Yvette Gastauer-Claire, deren ligierte Initialen „gc“ an der Fasson der Büste erscheinen. Unten auf dem Ring steht die Inschrift „HENRI – Grand-Duc de Luxembourg“ (Henri – Großherzog von Luxemburg), oben der Name des Ausgabelandes „LËTZEBUERG -“ (Luxemburg) und links davon das Ausgabejahr „2004“, flankiert links von den Segeln des Dreimastklippers Nederland als Münzmeisterzeichen Maarten Brouwers und rechts einem Hermesstab als Münzstättenzeichen der niederländischen Prägestätte Koninklijke Nederlandse Munt in Utrecht."
0,Olympische Sommerspiele 2004 in Athen,Greece,2004,35.0,False,,2 euro,"Von einem der bedeutendsten Bildhauer der griechischen Antike, Myron, ist keine der Bronzestatuen erhalten, die noch Jahrhunderte nach seinem Tod gerühmt wurden. 1781 wurde jedoch auf dem Esquilin eine römische Marmorkopie des um 455 v. Chr. geschaffenen Diskuswerfers gefunden. Anlässlich der Olympischen Sommerspiele 2004 in Athen hat Panagiotis Gravalos den Diskobolos auf der ersten 2-Euro-Gedenkmünze dargestellt. Links befindet sich die offizielle Bezeichnung „ATHENS 2004“ der Olympischen Sommerspiele 2004, darunter die fünf olympischen Ringe. Rechts ist der Nennwert der Münze „2 ΕΥΡΩ“ auf Griechisch zu sehen. Die Jahreszahl „2004“ flankiert beiderseits je zur Hälfte den 6-Uhr-Stern. Eine Palmette als Münzstättenzeichen der Prägestätte Νομισματοκοπείο / Nomismatokopeio (Münzprägeanstalt, Eigenbezeichnung auf Englisch: Bank of Greece – Mint) in Halandri ist oben abgebildet. Im Sockel der Statue sind links die Initialen „ΠΓ“ des Designers, rechts mit „ΚΚ“ die des Graveurs Konstantinos Kazakos dargestellt. Die Münze trägt keine Bezeichnung des ausgebenden Staates."
12,1. Jahrestag der Unterzeichnung des Vertrages über eine Verfassung für Europa,Italy,2005,18.0,False,,2 euro,"Der Entwurf eines Vertrages über eine Verfassung für Europa wurde 2003 von einem Europäischen Konvent erarbeitet und am 29. Oktober 2004 in Rom von den Staats- und Regierungschefs der EU-Mitgliedstaaten unterzeichnet. Gegenüber dem bisher gültigen Vertrag von Nizza sollte die EU zusätzliche Kompetenzen erhalten; außerdem sollte ihr institutionelles Gefüge geändert werden, um sie demokratischer und handlungsfähiger zu machen. Da jedoch nach gescheiterten Referenden in Frankreich und den Niederlanden nicht alle Mitgliedstaaten den Vertrag ratifizierten, erlangte er keine Rechtskraft. Stattdessen schlossen im Dezember 2007 die europäischen Staats- und Regierungschefs den Vertrag von Lissabon ab, der am 1. Dezember 2009 in Kraft trat. Europa und Zeus in Gestalt eines Stieres sind zusammen mit der als Buch dargestellten Verfassung für Europa das Motiv der Münze. Europa hält eine Schreibfeder über die Verfassung, symbolisch für deren Unterzeichnung. Der Ring zeigt im unteren Teil den Ausgabeanlass „COSTITUZIONE EUROPEA“ (Europäische Verfassung), während die zwölf Europasterne dessen obere Hälfte füllen. Die Ligatur „RI“ (Repubblica Italiana, Italienische Republik) ist unten auf der Pille dargestellt, die Jahreszahl „2005“ oben rechts. Das Münzstättenzeichen „R“ der Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom befindet sich oben links. Die Initialen „M.C.C.“ der Medailleurin Maria Carmela Colaneri stehen unten links."
9,400. Jahrestag der ersten Ausgabe Miguel de Cervantes’ Don Quixote,Spain,2005,8.0,False,,2 euro,"Das Zentrum der von Begoña Castellanos García entworfenen Münze zeigt Don Quixote, einen Speer haltend, mit zwei Windmühlen im Hintergrund – eine seiner bekanntesten Episoden im Roman El ingenioso hidalgo Don Quixote de la Mancha von Miguel de Cervantes (1547–1616). Don Quijote ist ein seinen Ritterromanen verfallener Leser, der unfähig erscheint, zwischen Dichtung und Wahrheit zu unterscheiden. Er hält sich für einen stolzen Ritter, dem vermeintlich das Schicksal ein kühnes Abenteuer nach dem anderen zu bestreiten auferlegt. Er steigt auf sein klappriges Pferd Rosinante – treu an seiner Seite der nur scheinbar naive Schildknappe Sancho Pansa – und kämpft unter anderem gegen Windmühlen. Links steht „ESPAÑA“ (Spanien) in vertiefter Prägung, darunter ein gekröntes „M“ als Münzstättenzeichen der Prägestätte Real Casa de la Moneda in Madrid. Die Jahreszahl „2005“ ist zweigeteilt zu beiden Seiten des 6-Uhr-Sterns dargestellt. Die vier rechten der zwölf Europasterne sind vertieft geprägt, die anderen erhaben. Diese Darstellung entspricht der Prägung der spanischen Kursmünzen 1999–2009. Ab 2010 wurde bei den Kursmünzen auf die unterschiedliche Darstellung dieser vier Sterne durch vertiefte Prägung verzichtet, da nach Vorgabe der Europäischen Kommission die Sterne auf dem Ring wie auf der europäischen Flagge angeordnet sein sollen. Dort sind aber alle zwölf gleich."
6,50. Geburtstag und 5. Jahrestag der Thronbesteigung Großherzog Henris 100. Todestag Großherzog Adolphs 2. Münze der Serie Großherzogliche Dynastie,Luxembourg,2005,2.769,False,,2 euro,"Auf der Münze sind die nach rechts blickenden Bildnisse der Großherzöge Henri und seines Ururgroßvaters Adolph abgebildet, der durch die preußische Annexion 1866 das Herzogtum Nassau verlor. Nach dem Aussterben des niederländischen Königshauses im Mannesstamm wurde er 1890 Großherzog von Luxemburg, da dort nur die männliche Erbfolge galt. Die Vorlage für das Abbild Adolphes stammt vom Bildhauer und Medailleur Thomas Vinçotte (1850–1925), das Porträt Henris von der Bildhauerin Yvette Gastauer-Claire, deren ligierte Initialen „gc“ an der Fasson der Büste erscheinen. Das Gestaltungskonzept stammt von der Luxemburger Zentralbank. Unter den Porträtierten sind – jeweils zweizeilig – ihre Namen sowie bei Henri das Geburtsjahr „HENRI * 1955“ und bei Adolph das Sterbejahr „ADOLPHE † 1905“ genannt. Die Inschrift „- GRAND-DUCS DE LUXEMBOURG -“ (Großherzöge von Luxemburg) steht oben. Der Ring enthält die zwölf Europasterne und dazwischen die Buchstaben des Landesnamens „LËTZEBUERG“ (Luxemburg). Die Jahreszahl „2005“ ist in zwei Teilen um den 6-Uhr-Stern gruppiert, flankiert links vom Landeskürzel „S“ (Suomi, Finnland auf Finnisch) für die Fertigung bei der finnischen Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa und rechts von deren Münzstättenzeichen, einem Füllhorn mit Ronden."
7,50. Jahrestag des Österreichischen Staatsvertrages,Austria,2005,7.0,False,,2 euro,"Gegenstand des am 15. Mai 1955 in Wien unterzeichneten Österreichischen Staatsvertrages ist die Wiederherstellung der souveränen und demokratischen Republik Österreich nach der nationalsozialistischen Herrschaft in Österreich (1938–1945) und der darauf folgenden Besatzungszeit (1945–1955). Das Motiv der Münze sind die Siegel und Unterschriften der Außenminister der Alliierten Siegermächte (Wjatscheslaw Michailowitsch Molotow für die Sowjetunion, John Foster Dulles für die Vereinigten Staaten, Harold Macmillan für das Vereinigte Königreich und Antoine Pinay für Frankreich) sowie der Hochkommissare der vier Besatzungszonen (Iwan Iwanowitsch Iljitschow, Llewellyn E. Thompson, Geoffrey Wallinger, Roger Lalouette) und des Außenministers Österreichs, Leopold Figl. Der Ausgabeanlass „50 JAHRE STAATSVERTRAG“ steht über den Siegeln, das Ausgabejahr „2005“ unten. Im Hintergrund sieht man die rot-weiß-rote Flagge Österreichs, nach den heraldischen Regeln der Tingierung vertikal schraffiert, was die Farbe Rot symbolisiert. Die Münze trägt jedoch keine Bezeichnung des ausgebenden Staates. Das Münzdesign stammt von Helmut Andexlinger, die Prägung erfolgte in der Münze Österreich in Wien."
