,Country,Year,Coin Value,Amount,Status,Created,Special,Collected,Collector,Source,Staged,Name,Country-specific,Description,Link
0,andorra,1999,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
1,andorra,1999,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
2,andorra,1999,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
3,andorra,1999,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
4,andorra,1999,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
5,andorra,1999,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
6,andorra,1999,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
7,andorra,1999,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
8,andorra,2000,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
9,andorra,2000,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
10,andorra,2000,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
11,andorra,2000,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
12,andorra,2000,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
13,andorra,2000,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
14,andorra,2000,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
15,andorra,2000,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
16,andorra,2001,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
17,andorra,2001,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
18,andorra,2001,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
19,andorra,2001,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
20,andorra,2001,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
21,andorra,2001,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
22,andorra,2001,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
23,andorra,2001,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
24,andorra,2002,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
25,andorra,2002,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
26,andorra,2002,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
27,andorra,2002,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
28,andorra,2002,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
29,andorra,2002,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
30,andorra,2002,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
31,andorra,2002,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
32,andorra,2003,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
33,andorra,2003,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
34,andorra,2003,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
35,andorra,2003,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
36,andorra,2003,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
37,andorra,2003,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
38,andorra,2003,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
39,andorra,2003,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
40,andorra,2004,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
41,andorra,2004,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
42,andorra,2004,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
43,andorra,2004,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
44,andorra,2004,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
45,andorra,2004,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
46,andorra,2004,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
47,andorra,2004,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
48,andorra,2005,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
49,andorra,2005,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
50,andorra,2005,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
51,andorra,2005,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
52,andorra,2005,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
53,andorra,2005,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
54,andorra,2005,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
55,andorra,2005,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
56,andorra,2006,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
57,andorra,2006,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
58,andorra,2006,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
59,andorra,2006,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
60,andorra,2006,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
61,andorra,2006,50 cent,0,unavailable,01.01.2024,False,,,,False,,,,
62,andorra,2006,1 euro,0,unavailable,01.01.2024,False,,,,False,,,,
63,andorra,2006,2 euro,0,unavailable,01.01.2024,False,,,,False,,,,
64,andorra,2007,1 cent,0,unavailable,01.01.2024,False,,,,False,,,,
65,andorra,2007,2 cent,0,unavailable,01.01.2024,False,,,,False,,,,
66,andorra,2007,5 cent,0,unavailable,01.01.2024,False,,,,False,,,,
67,andorra,2007,10 cent,0,unavailable,01.01.2024,False,,,,False,,,,
68,andorra,2007,20 cent,0,unavailable,01.01.2024,False,,,,False,,,,
